Clase,Accuracy,Precision,Recall,F1,TN,FP,FN,TP,Soporte (positivos),Soporte (negativos)
Fish,0.7149643705463183,0.7163814180929096,0.7026378896882494,0.7094430992736077,309,116,124,293,417,425
Flower,0.834916864608076,0.8292682926829268,0.7661971830985915,0.7964860907759883,431,56,83,272,355,487
Gravel,0.7102137767220903,0.7759103641456583,0.6281179138321995,0.6942355889724311,321,80,164,277,441,401
Sugar,0.7814726840855107,0.794392523364486,0.9074733096085409,0.8471760797342193,148,132,52,510,562,280
MACRO,0.7603919239904988,0.7789881495714952,0.7511065740568954,0.7618352146890617,-,-,-,-,1775,1593
